"število prebivalcev in naravno gibanje prebivalstva po: LETO , MERITVE"

"leto";"prebivalstvo_1_januar";"živorojeni";"umrli";"Naravni prirast";"naravni prirast na 1.000 prebivalcev"
"1922";1306529;39346;25088;14258;10.9
"1923";1314182;40710;25003;15707;11.9
"1924";1323284;40215;23297;16918;12.8
"1925";1333597;39476;23405;16071;12.0
"1926";1343063;38267;23307;14960;11.1
"1927";1351418;37794;23324;14470;10.7
"1928";1359383;37359;22355;15004;11.0
"1929";1367682;35201;23189;12012;8.8
"1930";1373082;38346;20846;17500;12.7
"1931";1383984;36851;22925;13926;10.0
"1932";1392466;36832;23849;12983;9.3
"1933";1402883;34587;22035;12552;8.9
"1934";1413017;33373;19585;13788;9.7
"1935";1423451;32433;20590;11843;8.3
"1936";1431966;32630;20479;12151;8.5
"1937";1440103;31520;21221;10299;7.1
"1938";1442980;31199;20392;10807;7.5
"1939";1445503;31251;19910;11341;7.8
"1940";1448991;31536;21001;10535;7.2
"1941";1451673;32456;19812;12644;8.7
"1942";1452659;30681;22061;8620;6.0
"1943";1444562;31434;25149;6285;4.4
"1944";1436468;27379;26609;770;0.5
"1945";1423942;20239;28572;-8333;-5.9
"1946";1408681;28599;18145;10454;7.4
"1947";1421631;31312;18708;12604;8.8
"1948";1436900;31538;17884;13654;9.5
"1949";1447550;33284;18838;14446;9.9
"1950";1459622;35992;17335;18657;12.7
"1951";1474149;34819;18497;16322;11.0
"1952";1486341;34165;15617;18548;12.5
"1953";1500759;33754;14948;18806;12.5
"1954";1515228;31828;14897;16931;11.1
"1955";1527741;32096;15109;16987;11.1
"1956";1540255;31466;16351;15115;9.8
"1957";1550957;30086;14545;15541;10.0
"1958";1562088;28284;14082;14202;9.0
"1959";1571873;28429;15357;13072;8.3
"1960";1580535;27825;15145;12680;8.0
"1961";1588904;28955;14013;14942;9.3
"1962";1599357;29035;15866;13169;8.2
"1963";1607941;29174;15102;14072;8.7
"1964";1626000;29184;16729;12455;7.6
"1965";1638227;30587;15987;14600;8.8
"1966";1660092;30941;15248;15693;9.4
"1967";1679717;29824;16353;13471;7.9
"1968";1699339;28580;17446;11134;6.6
"1969";1709752;27883;18564;9319;5.5
"1970";1719906;27432;17354;10078;5.8
"1971";1731787;28278;17425;10853;6.3
"1972";1744882;28713;18153;10560;6.0
"1973";1759584;29548;17614;11934;6.8
"1974";1773809;28625;17206;11419;6.4
"1975";1790229;29786;18180;11606;6.4
"1976";1808707;30339;18157;12182;6.8
"1977";1831790;29904;17633;12271;6.6
"1978";1852963;30354;18357;11997;6.4
"1979";1872133;30604;18148;12456;6.6
"1980";1893064;29902;18820;11082;5.8
"1981";1909566;29220;18733;10487;5.4
"1982";1924690;28894;19647;9247;4.8
"1983";1929292;27200;20703;6497;3.4
"1984";1937588;26274;20214;6060;3.1
"1985";1948577;25933;19854;6079;3.1
"1986";1975273;25570;19499;6071;3.1
"1987";1985486;25592;19837;5755;2.9
"1988";1994066;25209;19126;6083;3.0
"1989";1996325;23447;18669;4778;2.4
"1990";1996377;22368;18555;3813;1.9
"1991";1999945;21583;19324;2259;1.1
"1992";1998912;19982;19333;649;0.3
"1993";1994084;19793;20012;-219;-0.1
"1994";1989408;19463;19359;104;0.1
"1995";1989477;18980;18968;12;0.0
"1996";1990266;18788;18620;168;0.1
"1997";1986989;18165;18928;-763;-0.4
"1998";1984923;17856;19039;-1183;-0.6
"1999";1978334;17533;18885;-1352;-0.7
"2000";1987755;18180;18588;-408;-0.2
"2001";1990094;17477;18508;-1031;-0.5
"2002";1994026;17501;18701;-1200;-0.6
"2003";1995033;17321;19451;-2130;-1.1
"2004";1996433;17961;18523;-562;-0.3
"2005";1997590;18157;18825;-668;-0.3
"2006";2003358;18932;18180;752;0.4
"2007";2010377;19823;18584;1239;0.6
"2008";2025866;21817;18308;3509;1.7
"2009";2032362;21856;18750;3106;1.5
"2010";2046976;22343;18609;3734;1.8
"2011";2050189;21947;18699;3248;1.6
"2012";2055496;21938;19257;2681;1.3
"2013";2058821;21111;19334;1777;0.9
"2014";2061085;21165;18886;2279;1.1
"2015";2062874;20641;19834;807;0.4
"2016";2064188;20345;19689;656;0.3
"2017";2065895;20241;20509;-268;-0.1
