"Skupni prirast prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";"1995";" ";"1996";" ";"1997";" ";"1998";" ";"1999";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" ";"2017";" "
" ";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami";"Selitveni prirast s tujino";"Selitveni prirast med statistiènimi regijami"
"SLOVENIJA";1415;0;697;0;286;0;-2105;0;2335;0;2615;0;2992;0;1865;0;3412;0;1902;0;6436;0;6267;0;14250;0;18584;0;11508;0;-521;0;2059;0;644;0;487;0;-490;0;507;0;1051;0;1253;0
"Pomurska";76;-29;28;-5;-3;-43;-22;-21;-55;-78;-124;-46;-24;-55;-31;-23;-22;-52;-39;-49;123;-51;9;-6;85;-59;59;-664;-36;-363;-82;-25;18;187;-651;-30;-350;-205;-131;31;-280;37;-287;92;-369;-3
"Podravska";191;-94;136;-32;49;-101;-40;24;158;22;375;30;618;-38;160;2;217;31;250;67;705;29;770;21;2137;164;844;436;1048;301;-291;127;295;329;-371;281;-200;723;-217;352;-89;-159;276;-319;628;70
"Koroška";-21;-47;-1;-52;-3;-46;-47;-53;31;-119;1;-85;-36;-63;-61;-105;10;-71;25;-86;150;-150;96;-175;191;-218;288;-622;169;-372;-22;-347;61;-167;64;-386;-104;-437;-162;-132;-61;-162;-74;-159;-62;-180
"Savinjska";174;25;49;-102;22;-38;-389;-84;249;-102;339;-123;301;-9;378;-62;500;-146;194;-147;919;-105;1090;-120;2274;-65;2517;-1059;1223;-1017;-281;-436;228;-105;242;-474;551;-1123;-172;-306;152;162;300;80;154;60
"Zasavska";33;-43;10;54;8;66;-6;13;29;-3;29;0;70;-73;-1;-61;42;-87;-26;-83;96;-66;10;-87;102;-118;242;-205;178;-392;-42;-380;-20;-211;1;-356;-76;-335;-83;-155;-25;-227;-63;-17;-84;-77
"Posavska";81;0;32;1;14;-14;20;47;93;-15;210;-19;100;52;152;42;270;-22;77;-42;236;71;229;29;352;44;711;-448;259;-76;-20;51;20;43;71;57;55;-237;-39;104;23;106;-4;-30;-72;-74
"Jugovzhodna Slovenija";118;53;35;91;41;79;-93;61;113;172;70;108;42;61;127;8;196;85;148;80;480;70;405;19;1007;-88;1447;-147;728;25;42;-12;154;-241;-60;-406;1;-317;18;-347;31;38;19;-65;71;-80
"Osrednjeslovenska";372;-98;168;-226;88;-176;-759;-172;774;-235;1046;-176;1281;151;493;112;1095;234;1020;254;2154;336;2003;591;3881;681;6949;4279;4762;2415;-128;1378;551;554;692;2518;274;2556;371;1042;400;641;520;683;596;896
"Gorenjska";78;180;66;146;-10;75;-492;79;267;61;-32;51;176;-132;27;-98;113;-116;-9;-49;394;-152;348;-180;970;-178;1663;-539;794;-509;130;-310;230;-246;-18;-648;-181;-400;-229;-248;-157;-246;-245;-119;-30;-258
"Primorsko-notranjska";71;103;53;69;46;75;-26;108;86;131;88;130;109;47;68;84;168;32;74;85;127;89;222;28;536;33;506;-64;438;-18;22;6;32;-52;47;-62;142;-131;51;62;113;-108;67;44;-27;-181
"Goriška";79;-99;38;-43;19;0;-224;-88;306;-80;260;-50;30;-40;227;-44;329;-83;110;-128;382;-134;472;-262;1190;-254;1254;-1082;737;-765;34;-133;167;-297;120;-359;132;-744;35;-151;92;-99;126;-265;85;-346
"Obalno-kraška";163;49;83;99;15;123;-27;86;284;246;353;180;325;99;326;145;494;195;78;98;670;63;613;142;1525;58;2104;115;1208;771;117;81;323;206;507;-135;243;650;68;-252;308;17;416;75;363;173
